Song,Performer,Weeks on Chart,Average Previous Week Position,Week Position
whatever happened to benny santini,chris rea,4,77,77
whatever happened to old fashioned love,bj thomas,2,93,98
whatever it is,zac brown band,20,48,83
whatever it takes,imagine dragons,27,31,75
whatever it takes,lifehouse,20,52,78
whatever it takes to make you stay,troop,5,70,89
whatever shes got,david nail,21,54,85
whatever turns you on,travis wammack,4,97,96
whatever you decide,randy vanwarmer,3,82,77
whatever you got i want,jackson 5,11,58,79
whatever you like,ti,31,14,71
whatever you need,meek mill featuring chris brown  ty dolla ign,13,71,100
whatever you say,martina mcbride,20,61,93
whatever you want,jerry butler,6,78,85
whatever you want,tony toni tone,11,65,89
whats a guy gotta do,joe nichols,15,79,88
whats a matter baby,ellen foley,4,92,97
whats a matter baby is it hurting you,timi yuro,11,38,66
whats easy for two is so hard for one,mary wells,17,53,80
whats forever for,michael murphey,20,44,100
whats free,meek mill featuring rick ross  jayz,2,20,61
whats going on,all star tribute,10,55,95
whats going on,cyndi lauper,13,32,99
whats going on,marvin gaye,15,18,49
whats gonna happen when summers done,freddy cannon,4,63,66
whats happened to blue eyesyou aint never been loved like im gonna lov,jessi colter,5,69,85
whats happening,wade flemons,2,97,94
whats happnin,ying yang twins featuring trick daddy,20,59,99
whats he doing in my world,eddy arnold,9,76,85
whats it gonna be,busta rhymes featuring janet,20,31,93
whats it gonna be,dusty springfield,8,60,79
whats it gonna be,jellybean featuring niki haris,5,91,100
whats it like,jagged edge,2,85,97
whats it to you,clay walker,15,85,97
whats left of me,nick lachey,25,37,73
whats love got to do with it,tina turner,28,30,91
whats love got to do with it from supercop,warren g featuring adina howard,19,66,97
whats luv,fat joe featuring ashanti,28,14,46
whats made milwaukee famous has made a loser out of me,jerry lee lewis,3,95,95
whats my age again,blink182,20,68,90
whats my name,china anne mcclain,3,72,85
whats my name,dmx,11,80,100
whats my name,rihanna featuring drake,22,15,60
whats my name,snoop dogg,17,37,99
whats new,linda ronstadt  the nelson riddle orchestra,14,65,95
whats new pussycat,tom jones,12,20,41
whats next,drake,11,22,66
whats on tonight,montell jordan,20,37,76
whats on your mind pure energy,information society,25,40,99
whats poppin,jack harlow featuring dababy tory lanez  lil wayne,51,30,84
whats she got,liquid gold,4,88,99
whats so different,ginuwine,19,62,93
whats so good about goodby,the miracles,10,57,78
whats stopping you,the ojays,11,83,98
whats the frequency kenneth,rem,20,29,49
whats the matter here,10000 maniacs,8,85,98
whats the matter with you baby,marvin gaye  mary wells,10,41,63
whats the name of this funk spider man,ramsey lewis,4,73,73
whats the reason,bobby edwards,6,75,83
whats the use of breaking up,jerry butler,10,34,39
whats too much,smokey robinson,10,85,95
whats up,4 non blondes,26,37,95
whats up,dj miko,20,71,92
whats up doc can we rock,fuschnickens w shaquille oneal,17,61,88
whats your country song,thomas rhett,21,52,76
whats your fantasy,ludacris featuring shawnna,22,38,83
whats your hurry darlin,ironhorse,6,94,96
whats your mamas name,tanya tucker,4,93,96
whats your name,andy  david williams,4,95,96
whats your name,don  juan,13,26,69
whats your name,lynyrd skynyrd,18,35,95
whats your name whats your number,andrea true connection,7,72,80
whatta man,saltnpepa featuring en vogue,29,21,47
whatuon,latanya featuring twista,7,87,93
whatve i done to make you mad,linda jones,6,77,90
wheel in the sky,journey,8,67,91
wheel of fortune,lavern baker,4,90,96
wheel of fortune,the knightsbridge strings,3,96,91
wheels,billy vaughn and his orchestra,8,48,66
wheels,foo fighters,10,87,96
wheels,the stringalongs,16,22,48
wheels of fortune,the doobie brothers,2,92,87
wheels of life,gino vannelli,5,82,99
when,kalin twins,9,20,86
when a boy falls in love,mel carter,10,58,79
when a boy falls in love,sam cooke,5,69,74
when a child is born,michael holm,7,76,84
when a man loves a woman,bette midler,10,50,93
when a man loves a woman,michael bolton,20,18,66
when a man loves a woman,percy sledge,13,25,73
when a woman loves a man,esther phillips,5,76,76
when a womans fed up,r kelly,20,41,72
when all is said and done,abba,14,44,99
when boy meets girl,total,17,64,100
when can i see you,babyface,36,24,63
when doves cry,prince,23,19,96
when godfearin women get the blues,martina mcbride,10,71,99
when he shines,sheena easton,15,54,97
when he touches me nothing else matters,peaches  herb,7,58,63
when i close my eyes,shanice,10,38,95
when i die,motherlode,13,38,64
when i die,no mercy,20,62,85
when i dream,crystal gayle,3,85,98
when i dream of you,tommy page,10,58,95
when i fall in love,etta jones,8,77,84
when i fall in love,the lettermen,15,24,55
when i fall in love from sleepless in seattle,celine dion and clive griffin,20,48,74
when i fall in loveare you lonesome tonight,donny osmond,13,38,72
when i get thru with you youll love me too,patsy cline,6,65,73
when i get where im going,brad paisley featuring dolly parton,20,58,81
when i give my love,keith sweat,4,92,100
when i grow too old to dream,ed townsend,7,72,87
when i grow up,the pussycat dolls,20,22,56
when i grow up to be a man,the beach boys,10,29,58
when i look at you,miley cyrus,13,59,94
when i look into your eyes,firehouse,20,33,71
when i look to the sky,train,14,84,92
when i looked at him,expose,20,40,96
when i need you,leo sayer,20,26,99
when i said i do,clint black,20,53,84
when i see this bar,kenny chesney,7,92,96
when i see u,fantasia,23,58,99
when i see you smile,bad english,22,30,85
when i think about angels,jamie oneal,20,55,82
when i think about cheatin,gretchen wilson,11,50,79
when i think of you,janet jackson,19,27,98
when i think of you,leif garrett,5,80,97
when i wanted you,barry manilow,16,48,98
when i was young,eric burdon  the animals,9,33,61
when i was your man,bruno mars,35,20,94
when im back on my feet again,michael bolton,19,39,99
when im dead and gone,mcguinness flint,9,59,77
when im gone,3 doors down,45,25,65
when im gone,brenda holloway,9,42,59
when im gone,eminem,17,35,91
when im gone,wiz khalifa,4,76,80
when im holding you tight,michael stanley band,4,84,83
when im with you,sheriff,28,41,99
when it hurts,avant,2,91,93
when it rains it pours,luke combs,20,51,80
when its love,van halen,19,33,93
when its over,loverboy,15,52,95
when its over,sugar ray,22,26,59
when joanna loved me,tony bennett,5,97,98
when julie comes around,the cuff links,9,57,71
when liking turns to loving,ronnie dove,9,34,57
when love  hate collide,def leppard,14,68,97
when love comes to town,u2 with bb king,7,76,86
when love cries,donna summer,5,82,93
when love has gone away,richard cocciante,6,50,66
when love is new,arthur prysock,9,75,88
when love starts talkin,wynonna,2,98,100
when love takes over,david guetta featuring kelly rowland,8,86,99
when my little girl is smiling,steve alaimo,6,79,83
when my little girl is smiling,the drifters,10,54,85
when she cries,restless heart,20,31,58
when she dances,joey scarbury,9,63,99
when she needs good lovin she comes to me,the chicago loop,7,54,67
when she says baby,jason aldean,20,55,73
when she was my girl,four tops,22,41,93
when smokey sings,abc,19,33,96
when somebody loves you,alan jackson,17,69,96
when something is wrong with my baby,linda ronstadt featuring aaron neville,6,87,97
when something is wrong with my baby,sam  dave,8,55,70
when the boy in your arms is the boy in your heart,connie francis,13,27,61
when the boys get together,joanie sommers,3,98,96
when the children cry,white lion,23,40,100
when the feeling comes around,jennifer warnes,8,59,94
when the going gets tough the tough get going,billy ocean,23,33,100
when the good sun shines,elmo  almo,2,100,98
when the heart rules the mind,gtr,16,36,94
when the lady smiles,golden earring,4,80,96
when the last time,clipse,21,36,80
when the lights go out,five,26,21,57
when the lights go out,gerardo,2,98,100
when the lights go out,naked eyes,14,55,94
when the lovelight starts shining through his eyes,the supremes,11,44,75
when the morning comes,hoyt axton,6,67,75
when the night comes,joe cocker,20,42,100
when the party is over,robert john,5,76,80
when the partys over,billie eilish,32,58,94
when the radio is on,paul shaffer,8,87,96
when the rain begins to fall,jermaine jackson  pia zadora,11,73,98
when the rain comes down,andy taylor,6,83,89
when the saints go marching in,fats domino,8,59,97
when the ship comes in,peter paul  mary,3,96,94
when the snow is on the roses,ed ames,2,100,98
when the stars go blue,tim mcgraw,20,50,97
when the sun goes down,kenny chesney  uncle kracker,20,42,59
when theres no you,engelbert humperdinck,7,51,70
when things go wrong,robin lane  the chartbusters,3,87,97
when we,tank,19,88,100
when we dance,sting,18,53,100
when we get married,larry graham,4,81,78
when we get married,the dreamlovers,12,44,91
when we get married,the intruders,8,61,76
when we kiss,bardeux,13,53,98
when we make love,alabama,10,86,99
when we stand together,nickelback,16,61,96
when we was fab,george harrison,11,39,100
when we were young,adele,20,39,78
when will i be famous,bros,5,88,99
when will i be loved,linda ronstadt,15,21,52
when will i be loved,the everly brothers,13,38,82
when will i know,george hamilton iv,3,66,75
when will i see you again,the three degrees,18,30,84
when will i see you smile again,bell biv devoe,8,76,87
when you believe,whitney houston  mariah carey,17,41,72
when you close your eyes,night ranger,17,36,95
when you dance,jay  the americans,5,82,89
when you feel love,bob mcgilpin,5,94,99
when you get right down to it,ronnie dyson,2,99,94
when you get right down to it,the delfonics,8,64,71
when you gonna give it up to me,sean paul featuring keyshia cole,22,27,68
when you lie next to me,kellie coffey,18,75,100
when you look me in the eyes,jonas brothers,17,46,97
when you love a woman,journey,22,18,47
when you loved me,brenda lee,7,64,75
when you need my love,darryl worley,15,85,99
when you say love,sonny  cher,10,49,70
when you say nothing at all,alison krauss  union station,18,71,100
when you talk about love,patti labelle,12,71,96
when you tell me that you love me,american idol finalists season 4,4,45,69
when you walk in the room,paul carrack,3,91,95
when you walk in the room,the searchers,7,57,71
when you were mine,mitch ryder,4,90,98
when you were young,the killers,20,40,59
when you wish upon a star,dion  the belmonts,9,53,71
when your heart is weak,cock robin,16,58,95
when youre 1,gene chandler,2,99,99
when youre gone,avril lavigne,20,40,71
when youre gone,brenda  the tabulations,7,72,83
when youre gonefree to decide,the cranberries,20,37,52
when youre hot youre hot,jerry reed,12,26,50
when youre in love with a beautiful woman,dr hook,25,34,97
when youre mad,neyo,20,44,83
when youre young and in love,ralph carter,3,97,97
when youre young and in love,ruby and the romantics,8,60,70
when youre young and in love,the choice four,4,95,94
when youre young and in love,the marvelettes,10,46,71
whenever a teenager cries,reparata and the delrons,9,72,84
whenever he holds you,bobby goldsboro,8,55,70
whenever i call you friend,kenny loggins,20,29,95
whenever im away from you,john travolta,6,54,60
whenever she holds you,patty duke,5,73,77
whenever wherever,shakira,24,24,71
whenever you come around,vince gill,10,81,98
whenever youre near me,ace of base,5,80,83
where,the platters,9,63,79
where am i going,barbra streisand,2,94,94
where are all my friends,harold melvin and the blue notes,6,90,97
where are u now,skrillex  diplo with justin bieber,45,33,98
where are we going,bobby bloom,4,92,90
where are we runnin,lenny kravitz,6,75,89
where are you,dinah washington,12,53,73
where are you,frankie avalon,12,55,84
where are you going,dave matthews band,20,59,75
where are you going to my love,the brotherhood of man,7,67,76
where are you now,jimmy harnen with synch,36,59,95
where did all the good times go,dennis yost and the classics iv,8,85,91
where did i go wrong,dee dee sharp,4,89,88
where did our love go,donnie elbert,13,43,85
where did our love go,the j geils band,6,71,99
where did our love go,the supremes,14,14,38
where did they go lordrags to riches,elvis presley,7,42,61
where did we go wrong,frankie valli  chris forde,4,93,93
where did your heart go,wham,8,61,85
where do broken hearts go,whitney houston,18,25,98
where do i begin love story,andy williams,13,31,68
where do i go,carla thomas,2,86,86
where do i gobeinhare krishna,the happenings,6,76,77
where do the children go,hooters,12,56,97
where do u want me to put it,solo,18,66,100
where do we go from here,deborah cox,14,63,97
where do we go from here,filter,5,96,100
where do we go from here from eraser,vanessa williams,14,81,97
where do you go,cher,7,46,68
where do you go,no mercy,39,19,56
where do you go to my lovely,peter sarstedt,6,75,74
where does love go,freddie scott,6,91,99
where does my heart beat now,celine dion,24,34,87
where does that leave love,george lamond,20,75,99
where does the lovin go,david gates,8,61,74
where ever you are,terry ellis,20,64,92
where everybody knows your name the theme from cheers,gary portnoy,4,86,85
where evil grows,the poppy family,12,58,74
where have all our heroes gone,bill anderson,3,97,97
where have all the cowboys gone,paula cole,21,21,48
